x,logf,std::log,ulp_error
3.37367e-38,-86.2822,-86.2822,0.187595
3.38542e-38,-86.2787,-86.2788,0.898902
3.39718e-38,-86.2753,-86.2753,0.412647
3.40893e-38,-86.2718,-86.2718,0.823515
3.42069e-38,-86.2684,-86.2684,0.629022
3.43244e-38,-86.265,-86.265,0.982367
3.4442e-38,-86.2615,-86.2615,0.872967
3.45595e-38,-86.2581,-86.2581,0.290347
3.46771e-38,-86.2547,-86.2547,0.224138
3.47946e-38,-86.2514,-86.2514,0.664076
3.49122e-38,-86.248,-86.248,0.600003
3.50297e-38,-86.2446,-86.2446,0.0218602
3.51473e-38,-86.2413,-86.2413,0.919693
3.52648e-38,-86.2379,-86.2379,0.283644
3.53824e-38,-86.2346,-86.2346,0.103956
3.54999e-38,-86.2313,-86.2313,0.370969
3.56175e-38,-86.228,-86.228,0.0751162
3.5735e-38,-86.2247,-86.2247,0.206928
3.58526e-38,-86.2214,-86.2214,0.242972
3.59701e-38,-86.2181,-86.2181,0.71613
3.60877e-38,-86.2149,-86.2149,1.06486
3.62052e-38,-86.2116,-86.2116,0.824655
3.63228e-38,-86.2084,-86.2084,0.0541557
3.64403e-38,-86.2051,-86.2051,0.460019
3.65579e-38,-86.2019,-86.2019,0.31795
3.66754e-38,-86.1987,-86.1987,0.551137
3.6793e-38,-86.1955,-86.1955,1.11078
3.69105e-38,-86.1923,-86.1923,0.0282866
3.70281e-38,-86.1891,-86.1891,0.255278
3.71456e-38,-86.186,-86.186,0.823072
3.72632e-38,-86.1828,-86.1828,0.683702
3.73807e-38,-86.1797,-86.1797,0.868394
3.74983e-38,-86.1765,-86.1765,0.329587
3.76158e-38,-86.1734,-86.1734,0.0886485
3.77334e-38,-86.1703,-86.1703,0.127714
3.78509e-38,-86.1672,-86.1672,0.43882
3.79685e-38,-86.1641,-86.1641,1.01408
3.8086e-38,-86.161,-86.161,0.845675
3.82036e-38,-86.1579,-86.1579,0.074136
3.83211e-38,-86.1548,-86.1548,0.246975
3.84387e-38,-86.1518,-86.1518,0.198593
3.85562e-38,-86.1487,-86.1487,0.581627
3.86738e-38,-86.1457,-86.1457,0.419826
3.87913e-38,-86.1426,-86.1426,0.210349
3.89089e-38,-86.1396,-86.1396,1.20273
3.90264e-38,-86.1366,-86.1366,0.197261
3.9144e-38,-86.1336,-86.1336,0.610719
3.92615e-38,-86.1306,-86.1306,0.581943
3.93791e-38,-86.1276,-86.1276,0.746826
3.94966e-38,-86.1246,-86.1246,0.0609953
3.96142e-38,-86.1216,-86.1216,0.445234
3.97317e-38,-86.1187,-86.1187,0.184112
3.98493e-38,-86.1157,-86.1157,0.02075
3.99668e-38,-86.1128,-86.1128,0.103506
4.00844e-38,-86.1098,-86.1098,0.0340351
4.02019e-38,-86.1069,-86.1069,0.14431
4.03195e-38,-86.104,-86.104,0.461551
4.0437e-38,-86.1011,-86.1011,0.125333
4.05546e-38,-86.0982,-86.0982,0.404522
4.06721e-38,-86.0953,-86.0953,1.03559
4.07897e-38,-86.0924,-86.0924,0.238476
4.09072e-38,-86.0895,-86.0895,0.576015
4.10248e-38,-86.0866,-86.0866,0.472817
4.11423e-38,-86.0838,-86.0838,0.445738
4.12599e-38,-86.0809,-86.0809,0.488636
4.13774e-38,-86.0781,-86.0781,0.595425
4.1495e-38,-86.0752,-86.0752,0.760066
4.16125e-38,-86.0724,-86.0724,0.976577
4.173e-38,-86.0696,-86.0696,0.239021
4.18476e-38,-86.0668,-86.0668,0.541515
